bikes_available,docks_available,is_renting,is_returning,last_updated,station_id,name,latitude,longitude
1,29,true,true,1594115085,3154,E 77 St & 3 Ave,40.77314236,-73.95856158
0,19,true,true,1594115085,3559,21 St & 38 Ave,40.7576314,-73.9391224
7,8,true,true,1594114954,8870d1c76fa018d1758fad83f2be5237,Market St at 40th St,37.8305452,-122.2739367
3,12,true,true,1594114955,aca2db0bb7fe57847fca972c91a02f72,Foothill Blvd at Fruitvale Ave,37.7837569,-122.2226033
17,2,true,true,1594115085,3060,Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915
17,2,true,true,1594115085,3395,Henry St & W 9 St,40.6763744,-74.00324957
13,21,true,true,1594115085,310,State St & Smith St,40.68926942,-73.98912867
9,18,true,true,1594115085,3544,Underhill Ave & Pacific St,40.6804836,-73.9646795
15,8,true,true,1594114955,be806da4e80f7bd2ce97de96d896036a,Channing Way at San Pablo Ave,37.8628271,-122.2902305
28,10,true,true,1594115085,3727,Frost St & Meeker Ave,40.7176619708399,-73.948800265789
5,22,true,true,1594114954,219cc838b24b5ceb39af7bcd6e6c5e13,Kerley Dr at Rosemary St,37.3608541552538,-121.906834244728
0,23,true,true,1594114954,eea0a9aed0f267d94aa702cd52458754,College Ave at Bryant Ave,37.8381269,-122.2512714
23,7,true,true,1594115085,3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386
15,8,true,true,1594114954,e8061d928a602d4e74975b184f61df6d,Valencia St at 21st St,37.7567083,-122.421025
20,10,true,true,1594115085,3148,E 84 St & 1 Ave,40.77565541,-73.95068615
7,19,true,true,1594115085,3927,Lenox Ave & W 133 St,40.81296,-73.941878
22,17,true,true,1594115085,250,Lafayette St & Jersey St,40.72456089,-73.99565293
34,4,true,true,1594115085,146,Hudson St & Reade St,40.71625008,-74.0091059
10,32,true,true,1594115085,379,W 31 St & 7 Ave,40.749156,-73.9916
6,11,true,true,1594115085,3935,Amsterdam Ave & W 131 St,40.816355,-73.954295
10,8,true,true,1594114955,54346a82070e38f3cb2246ef4bc0062f,Derby St at College Ave,37.8618037,-122.2535687
3,9,true,true,1594114955,9b4f2ce733dbdb64a2b5d3464ec5eb90,22nd St at William St,37.3403787406505,-121.864020824432
4,32,true,true,1594115085,3507,Park Ave & E 124 St,40.8045555,-73.9396861
21,18,true,true,1594115085,3429,Hanson Pl & Ashland Pl,40.6850680730818,-73.9779075980186
24,10,true,true,1594115085,3379,E 103 St & Lexington Ave,40.7903051,-73.94755757
2,16,true,true,1594114954,73edabd1eaf63a026c81fb580dfcdf7f,21st Ave at Geary Blvd,37.780111,-122.480389
6,20,true,true,1594114954,df88c2e9c068b1f96081442b6cb639d9,Funston Ave at Irving St,37.7639340252141,-122.470650672913
38,5,true,true,1594115085,3452,Bayard St & Leonard St,40.7191557169604,-73.9488539099693
17,6,true,true,1594114954,5a3ef6c03f1ce19c588c078270170a18,Horton St at 40th St,37.8297046,-122.2876102
2,21,true,true,1594115085,2017,E 43 St & 2 Ave,40.75022392,-73.97121414
4,18,true,true,1594115085,4020,Bradhurst Ave & W 148 St,40.825125,-73.941616
1,22,true,true,1594115085,3577,34 Ave & 21 St,40.7628138,-73.9342862
